SAMPLES:	3868758
BITSPERSAMPLE:	32
CHANNELS:	2
SAMPLERATE:	64000
NORMALIZED:	FALSE
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	1.52588e-005
0	0
0	-3.05176e-005
0	1.52588e-005
0	3.05176e-005
-1.52588e-005	0
0	-3.05176e-005
-1.52588e-005	0
-1.52588e-005	1.52588e-005
0	1.52588e-005
-1.52588e-005	0
-1.52588e-005	0
0	0
0	1.52588e-005
-1.52588e-005	1.52588e-005
-1.52588e-005	0
-1.52588e-005	0
0	0
3.05176e-005	-1.52588e-005
1.52588e-005	-3.05176e-005
0	0
0	0
0	0
-1.52588e-005	-1.52588e-005
0	0
0	1.52588e-005
-1.52588e-005	-1.52588e-005
-1.52588e-005	-1.52588e-005
0	0
0	0
1.52588e-005	0
0	1.52588e-005
-1.52588e-005	0
0	0
0	0
-1.52588e-005	0
0	1.52588e-005
1.52588e-005	1.52588e-005
-1.52588e-005	0
-3.05176e-005	-1.52588e-005
0	-1.52588e-005
0	0
0	1.52588e-005
0	1.52588e-005
0	0
-1.52588e-005	1.52588e-005
0	1.52588e-005
0	1.52588e-005
0	0
0	0
0	0
0	-1.52588e-005
-1.52588e-005	0
-1.52588e-005	1.52588e-005
0	1.52588e-005
1.52588e-005	0
-1.52588e-005	-1.52588e-005
-1.52588e-005	-1.52588e-005
0	0
0	0
0	-1.52588e-005
1.52588e-005	0
0	0
-1.52588e-005	1.52588e-005
0	0
0	-1.52588e-005
-1.52588e-005	-1.52588e-005
1.52588e-005	0
1.52588e-005	0
0	1.52588e-005
0	1.52588e-005
0	0
-1.52588e-005	0
1.52588e-005	0
1.52588e-005	-3.05176e-005
-1.52588e-005	0
0	1.52588e-005
1.52588e-005	0
0	-1.52588e-005
0	0
0	0
0	0
-1.52588e-005	1.52588e-005
-1.52588e-005	-1.52588e-005
